"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Finanzas del Gobierno Central",,,,,,
"Resultado fiscal: Ingresos, gastos, donaciones",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,
,"Ingresos totales GC","Gastos totales GC"
2012-Enero,3955.17,3277.72
2012-Febrero,3158.36,3381.67
2012-Marzo,4284.05,3821.01
2012-Abril,4088.58,3615.03
2012-Mayo,3389.10,4033.10
2012-Junio,3423.11,4026.84
2012-Julio,4711.38,5522.68
2012-Agosto,3337.63,5284.00
2012-Setiembre,3050.39,4671.20
2012-Octubre,4804.57,4755.27
2012-Noviembre,3301.63,6166.87
2012-Diciembre,3962.84,6764.19
2013-Enero,4608.82,3218.86
2013-Febrero,3193.69,4064.27
2013-Marzo,4343.46,4308.30
2013-Abril,4964.03,5368.38
2013-Mayo,3738.28,4643.20
2013-Junio,3185.75,4706.07
2013-Julio,5431.09,6093.95
2013-Agosto,3520.07,4321.74
2013-Setiembre,3481.95,4307.16
2013-Octubre,5345.72,4388.46
2013-Noviembre,3486.66,5495.16
2013-Diciembre,3574.30,7353.39
2014-Enero,4935.74,3427.18
2014-Febrero,3315.39,3706.58
2014-Marzo,4370.11,4762.63
2014-Abril,5327.78,5569.59
2014-Mayo,3765.51,5256.92
2014-Junio,3673.10,5181.66
2014-Julio,5939.32,6091.69
2014-Agosto,3807.34,5440.76
2014-Setiembre,3742.31,4386.30
2014-Octubre,5378.12,3708.89
2014-Noviembre,3687.07,5185.94
2014-Diciembre,4103.21,8100.55
2015-Enero,4998.97,3920.05
2015-Febrero,3560.64,4809.77
2015-Marzo,4540.91,5747.26
2015-Abril,5357.29,5539.61
2015-Mayo,3748.55,5015.02
2015-Junio,3847.89,4742.94
2015-Julio,5986.30,5553.78
2015-Agosto,3767.70,5119.68
2015-Setiembre,3657.14,4298.58
2015-Octubre,5469.64,4583.29
2015-Noviembre,3762.42,4109.87
2015-Diciembre,4081.65,6451.35
2016-Enero,5331.92,3934.69
2016-Febrero,3597.34,4421.10
2016-Marzo,4515.13,4829.89
2016-Abril,5562.53,4457.21
2016-Mayo,4748.28,4671.60
2016-Junio,4069.69,5024.59
2016-Julio,6502.51,6202.34
2016-Agosto,4389.72,5235.43
2016-Setiembre,3903.53,5061.03
2016-Octubre,5917.67,5461.70
2016-Noviembre,4209.96,5779.69
2016-Diciembre,4692.41,8001.04
2017-Enero,5497.90,4252.42
2017-Febrero,3886.45,4451.22
2017-Marzo,5250.89,4831.75
2017-Abril,5980.80,5430.09
2017-Mayo,4173.75,5402.87
2017-Junio,4876.81,4852.40
2017-Julio,6497.24,6236.01
2017-Agosto,4301.64,5355.82
2017-Setiembre,4039.32,5296.92
2017-Octubre,6300.71,5532.79
2017-Noviembre,4443.56,5717.32
2017-Diciembre,4595.64,9915.18
2018-Enero,5982.94,4325.89
2018-Febrero,4064.75,4655.60
2018-Marzo,5140.89,4982.28
2018-Abril,6306.52,5744.92
2018-Mayo,4554.53,5530.23
2018-Junio,4541.11,6038.93
2018-Julio,6891.19,6817.12
2018-Agosto,4466.75,6183.84
2018-Setiembre,4175.18,5720.80
2018-Octubre,6728.53,6158.04
2018-Noviembre,4704.74,6807.31
2018-Diciembre,4588.06,9745.54
2019-Enero,6271.71,5222.03
2019-Febrero,4199.80,5342.90
2019-Marzo,5491.21,5935.41
2019-Abril,6505.20,7288.72
2019-Mayo,4965.35,5886.55
2019-Junio,4548.95,6765.62
2019-Julio,7334.97,6992.92
2019-Agosto,4780.60,6656.64
2019-Setiembre,4565.13,6487.66
2019-Octubre,7462.02,6929.20
2019-Noviembre,4927.64,6662.34
2019-Diciembre,5415.52,9666.32
2020-Enero,6917.24,5473.68
2020-Febrero,4577.29,5101.34
2020-Marzo,4014.30,6320.89
2020-Abril,7218.79,6420.95
2020-Mayo,3756.19,7611.77
2020-Junio,3862.86,8817.08
2020-Julio,6395.61,8132.72
2020-Agosto,4259.17,8490.33
2020-Setiembre,4534.01,8624.12
2020-Octubre,7871.79,7836.64
2020-Noviembre,5009.60,8197.71
2020-Diciembre,5582.10,12501.76
2021-Enero,7186.60,5677.25
2021-Febrero,5031.05,5545.69
2021-Marzo,6642.70,6002.76
2021-Abril,8101.22,8728.40
2021-Mayo,5409.77,6951.82
2021-Junio,5657.03,6994.24
2021-Julio,9215.93,8696.10
2021-Agosto,5629.92,6972.46
2021-Setiembre,5579.72,6602.16
2021-Octubre,9469.23,6511.46
2021-Noviembre,5987.16,9626.61
2021-Diciembre,8151.48,11756.84
2022-Enero,8109.65,6217.36
